id,first_name,last_name,gender,birth_date,hire_date,termination_date,status,position_id,manager_id
83524916-427f-4372-8ecd-9d1e659863d6,Dino,Sargent,female,1967-04-01,1990-04-01,2014-12-31,Resigned,5a621969-b47a-4689-905f-ac8463b80da7,92458503-8516-488d-a11d-5ccf25e68316
3164c559-701d-4e96-b385-aa91f2e48ffa,Art,Stone,male,1966-02-19,1990-07-01,1992-08-31,Resigned,27e4edca-2855-42d4-95e7-f02fda93317a,c2c8fac5-8bb5-416d-82fb-d8d19cd298de
3acc185e-4c68-4cc3-8486-b2d5b8cdaeec,Robby,Tate,non-binary,1967-11-11,1990-07-01,1994-09-30,Resigned,ca800f48-24a3-4802-9779-138796462142,92458503-8516-488d-a11d-5ccf25e68316
aa4ae05d-55ad-4fcb-9e8e-099f8a49579d,Garland,Richards,non-binary,1969-12-03,1992-04-01,1993-12-31,Resigned,1b1f9de8-7779-417b-a506-45ca3cfe4def,92458503-8516-488d-a11d-5ccf25e68316
aca6a7a8-4240-4b4e-942a-029b024f5254,Rodrigo,Tanner,male,1965-06-28,1992-11-01,1992-12-31,Resigned,1b1f9de8-7779-417b-a506-45ca3cfe4def,92458503-8516-488d-a11d-5ccf25e68316
441c0409-0e6f-4d03-b9ea-e1a05fad4e8b,Cordia,Burgess,non-binary,1968-01-31,1993-03-01,2020-03-31,Terminated,25f7a622-64f5-49b5-9256-cd7bedf9f2db,f9751221-4940-49bb-94cb-a9ef282abe67
8699a2d4-347c-438d-b567-f82e9e2137cd,Tu,Parrish,male,1965-11-05,1993-08-01,2005-09-30,Resigned,5a621969-b47a-4689-905f-ac8463b80da7,92458503-8516-488d-a11d-5ccf25e68316
6032309b-605f-4ff0-8aa9-e63e6826e31e,Lajuana,Hudson,non-binary,1966-11-30,1993-11-01,1993-11-30,Resigned,1b1f9de8-7779-417b-a506-45ca3cfe4def,92458503-8516-488d-a11d-5ccf25e68316
5b62b5df-c8ee-4bc7-83e3-a9164e210205,Adrian,Mcbride,non-binary,1970-09-27,1993-12-01,,Active,25f7a622-64f5-49b5-9256-cd7bedf9f2db,f9751221-4940-49bb-94cb-a9ef282abe67
5f99dde7-44d0-48b4-8bfd-864ea3faf2ae,Sang,Evans,female,1970-07-11,1994-05-01,1994-08-31,Resigned,ba55a34e-7c02-4224-adb8-e673810d8c8a,92458503-8516-488d-a11d-5ccf25e68316
c7a30f19-504c-40bc-8f89-2d57d3f72bfa,Venetta,Ewing,male,1967-01-25,1994-05-01,2024-06-30,Resigned,5a621969-b47a-4689-905f-ac8463b80da7,92458503-8516-488d-a11d-5ccf25e68316
94d2feb8-1c70-41e2-bdfa-1945de66b0f6,Temple,Robinson,non-binary,1972-04-28,1994-07-01,2002-10-31,Terminated,ddae60da-e7a3-4217-a385-c24a598d356b,783cb8c5-0b77-478d-abee-6ba43437f237
bdb76c77-9600-4e38-a79d-0737669bd034,Delmy,Hatfield,male,1964-07-19,1994-09-01,1999-10-31,Resigned,1b1f9de8-7779-417b-a506-45ca3cfe4def,92458503-8516-488d-a11d-5ccf25e68316
